days_from_20160101,stimchoice1,stimchoice2,stimchosen,correct_stim,is_choice_color,chose_correct
33,9,2,2,2,0,1
33,12,3,12,12,0,1
33,4,9,4,4,0,1
33,4,10,4,4,1,1
33,2,1,1,1,0,1
33,5,1,5,5,1,1
33,0,11,0,0,1,1
33,7,13,7,7,1,1
33,4,8,8,4,0,0
33,1,3,1,1,1,1
33,7,13,13,13,0,1
33,2,13,13,13,0,1
33,10,2,10,10,1,1
33,10,12,10,10,0,1
33,6,9,6,6,1,1
33,7,11,7,7,1,1
33,6,11,11,11,0,1
33,7,11,11,11,0,1
33,0,11,0,0,0,1
33,2,12,2,12,1,0
33,11,3,11,11,1,1
33,2,0,2,2,0,1
33,4,7,7,7,0,1
33,5,7,5,7,1,0
33,0,12,0,0,0,1
33,8,0,8,8,0,1
33,13,7,7,7,0,1
33,7,4,7,7,1,1
33,8,6,8,6,1,0
33,2,13,13,13,1,1
33,4,8,4,4,1,1
33,3,6,3,3,0,1
33,4,6,6,6,0,1
33,12,6,6,12,0,0
33,7,0,7,7,0,1
33,11,7,11,11,0,1
33,13,10,13,10,1,0
33,2,13,2,2,0,1
33,9,11,11,11,0,1
33,3,6,3,6,1,0
33,11,2,11,11,1,1
33,8,1,1,1,0,1
33,6,12,6,6,0,1
33,13,11,11,11,0,1
33,8,0,0,0,0,1
33,9,9,9,9,1,1
33,1,13,1,1,1,1
33,10,1,10,10,0,1
33,6,8,8,8,0,1
33,11,13,11,11,0,1
33,7,11,11,7,1,0
33,9,3,3,3,0,1
33,13,4,13,4,1,0
33,11,12,11,11,0,1
33,11,6,6,6,0,1
33,6,11,11,11,0,1
33,2,8,2,2,1,1
33,3,13,3,3,0,1
33,0,11,0,0,0,1
33,3,5,3,5,1,0
33,8,12,12,12,1,1
33,5,2,2,2,0,1
33,4,9,9,9,0,1
33,0,1,0,0,1,1
33,9,13,13,13,0,1
33,6,3,6,6,1,1
33,13,10,10,10,1,1
33,10,6,10,10,0,1
33,4,2,2,2,0,1
33,7,12,12,12,0,1
33,5,8,5,5,1,1
33,13,12,12,12,0,1
33,1,8,8,8,0,1
33,1,3,1,1,1,1
33,4,11,4,4,1,1
33,3,5,5,5,0,1
33,8,12,12,12,0,1
33,12,6,6,6,1,1
33,1,11,11,11,0,1
33,2,8,2,2,1,1
33,4,2,2,2,0,1
33,5,9,5,5,0,1
33,3,9,9,9,1,1
33,12,3,3,3,1,1
33,6,11,6,6,1,1
33,11,9,11,9,1,0
33,3,12,3,3,0,1
33,2,12,2,2,0,1
33,11,5,11,5,1,0
33,11,12,11,11,1,1
33,7,12,7,12,1,0
34,8,9,8,9,0,0
34,7,12,7,12,1,0
34,12,5,5,5,1,1
34,5,4,5,5,1,1
34,4,13,4,4,0,1
34,11,9,11,11,1,1
34,10,9,10,9,1,0
34,5,3,3,3,1,1
34,6,13,13,13,0,1
34,13,12,12,12,0,1
34,12,7,7,7,0,1
34,2,9,9,9,0,1
34,12,9,12,12,1,1
34,3,1,1,1,0,1
34,4,10,4,4,1,1
34,1,2,1,1,0,1
34,2,11,11,11,1,1
34,3,0,3,3,0,1
34,0,5,0,0,1,1
34,8,6,8,6,1,0
34,12,0,12,12,1,1
34,4,4,4,4,1,1
34,8,10,10,10,0,1
34,4,5,4,4,0,1
